animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,milk_conductivity_mS_cm,body_temperature_c,udder_surface_temperature_c,milk_yield_kg_day,ambient_temperature_c,relative_humidity_pct,hygiene_score_0_100,cmt_test,synthetic_risk_score_pct,mastitis_risk_category,farm_id,record_date,temperature_humidity_index,abnormal_behavior
10001,Ongole,4,1,265,0,4.18,38.32,34.52,14.54,26.8,56.0,55.5,Negative,6.7,No_Risk,F02,2026-08-31,74.78399999999999,0
10002,Tharparkar,3,3,254,0,3.66,37.82,33.54,6.72,31.9,58.8,77.4,Negative,1.0,No_Risk,F03,2026-08-31,82.21000000000001,0
10003,Krishna Valley,10,3,23,0,4.87,38.74,33.49,16.36,29.0,78.5,57.2,Negative,51.4,Moderate,F04,2026-08-31,81.061,1
10004,Umblachery,7,1,173,0,3.96,38.53,33.97,11.75,33.6,60.4,80.0,Negative,11.2,No_Risk,F05,2026-08-31,84.8768,0
10005,Kangayam,6,5,48,0,3.76,38.72,35.33,13.6,32.9,66.1,56.4,2+,49.9,Low,F06,2026-08-31,84.9485,0
10006,Hariana,4,1,128,1,3.62,39.41,34.68,14.9,26.7,76.4,83.2,3+,89.2,High,F07,2026-08-31,77.15719999999999,1
10007,Krishna Valley,9,2,117,0,4.06,38.59,32.5,13.42,32.3,64.7,73.7,Negative,2.2,No_Risk,F08,2026-08-31,83.82130000000001,0
10008,Rathi,3,1,234,0,3.74,38.42,33.78,10.17,31.4,75.6,98.2,Negative,3.5,No_Risk,F09,2026-08-31,84.372,0
10009,Ongole,6,3,94,0,5.19,38.2,35.11,13.8,21.0,49.5,67.8,Trace,35.2,Low,F10,2026-08-31,66.467,0
10010,Vechur,7,1,165,1,5.85,38.61,32.81,10.32,31.8,66.4,78.4,Trace,28.4,Low,F01,2026-08-31,83.39359999999999,0
10011,Red Sindhi,6,5,147,0,3.3,38.66,33.26,13.77,27.5,68.9,60.3,Negative,2.6,No_Risk,F02,2026-08-31,77.4259,0
10012,Ongole,3,4,61,0,3.37,38.62,34.41,14.1,25.9,68.3,67.7,Negative,18.1,No_Risk,F03,2026-08-31,74.97449999999999,0
10013,Kangayam,10,1,60,1,4.47,39.32,37.5,7.23,26.0,48.2,73.6,3+,99.0,High,F04,2026-08-31,72.7912,1
10014,Kangayam,10,5,53,1,4.12,38.89,33.5,12.88,28.5,82.4,49.1,2+,23.8,No_Risk,F05,2026-08-31,80.8184,0
10015,Hariana,8,5,36,0,4.24,38.55,33.08,9.95,30.7,57.7,50.7,Negative,4.4,No_Risk,F06,2026-08-31,80.3651,0
10016,Rathi,10,3,184,0,3.89,38.35,34.47,10.91,24.2,72.0,81.0,Negative,4.2,No_Risk,F07,2026-08-31,72.816,0
10017,Tharparkar,8,5,172,0,4.28,38.69,35.16,10.88,29.7,68.1,69.8,1+,35.5,Low,F08,2026-08-31,80.57929999999999,0
10018,Hariana,6,5,95,1,5.31,38.4,33.7,10.3,31.0,80.0,63.1,2+,72.8,Moderate,F09,2026-08-31,84.47999999999999,1
10019,Hariana,5,5,106,0,3.41,38.66,32.9,15.07,35.5,94.2,60.9,Negative,4.7,No_Risk,F10,2026-08-31,94.6762,0
10020,Red Sindhi,9,5,136,0,4.75,38.77,34.69,6.4,25.2,52.5,61.5,1+,27.3,Low,F01,2026-08-31,72.22999999999999,0
10021,Kankrej,9,2,46,1,4.18,38.64,34.69,5.33,27.8,60.2,73.7,Trace,30.4,Low,F02,2026-08-31,76.7068,0
10022,Rathi,6,2,153,0,5.5,38.38,35.62,4.07,29.9,70.3,78.7,1+,71.4,Moderate,F03,2026-08-31,81.2165,1
10023,Sahiwal,4,3,238,0,5.15,37.84,34.73,13.39,33.0,54.7,40.6,Negative,12.9,No_Risk,F04,2026-08-31,82.9742,0
