record_date,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis_history,vaccinated,chronic_disease_flag,ambient_temperature_c,relative_humidity_pct,hygiene_score_0_100,environment_total_mastitis_pathogen_load_log10,S_aureus_load_log10_cfu_equiv,S_uberis_load_log10_cfu_equiv,E_coli_load_log10_cfu_equiv,K_pneumoniae_load_log10_cfu_equiv,S_agalactiae_load_log10_cfu_equiv,dominant_environment_pathogen,milk_yield_kg_day,milk_conductivity_mS_cm,body_temperature_c,udder_surface_temperature_c,clinical_mastitis_now,synthetic_risk_score_pct,mastitis_risk_category,mastitis_in_next_7d,mastitis_in_next_14d,days_to_synthetic_event,temperature_humidity_index
2026-08-31,F01,15002,Gir,3.5,2,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
2026-08-31,F01,15001,Gir,3.5,2,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
2026-08-31,F01,12005,HF_cross,3.0,2,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
2026-08-31,F01,12002,Gir,3.5,1,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
2026-08-31,F01,12001,Jersey_cross,4.0,1,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
2026-08-31,F01,99001,Gir,3.5,2,65,0,1,0,28.0,70.0,60.0,4.5,4.0,4.1,3.8,3.6,3.3,S_uberis,16.0,4.0,38.6,33.8,0,5.0,No_Risk,0,0,,78.32
01-01-2026,F22,1,Jersey_cross,3.5,5,20,0,1,0,27.96,75.59,56.48,4.917,4.175,4.606,4.187,3.945,3.491,S_uberis,12.69,3.945,38.54,33.89,0,9.42,No_Risk,0,0,35.0,79.01800399999999
02-01-2026,F22,2,Jersey_cross,3.5,5,21,0,1,0,27.57,69.29,83.0,4.483,4.079,3.912,3.665,3.256,3.58,S_aureus,13.72,3.946,38.41,33.79,0,2.63,No_Risk,0,0,34.0,77.581493
03-01-2026,F22,3,Jersey_cross,3.5,5,22,0,1,0,25.75,88.64,58.31,5.359,4.094,4.692,4.814,4.931,4.219,K_pneumoniae,14.2,4.06,38.39,33.82,0,21.97,Low,0,0,33.0,77.06064
04-01-2026,F22,4,Jersey_cross,3.5,5,23,0,1,0,32.67,64.72,60.17,4.466,4.07,3.793,3.645,3.581,3.484,S_aureus,13.22,4.206,38.4,33.94,0,5.43,No_Risk,0,0,32.0,84.360344
